title,price,location,surface,rooms,baths,link
Appartement à vendre 70 m² à Oujda,260000,"Appartements dans Oujda, Route Jerada",70 m²,2 chambres,1 sdb,https://www.avito.ma/fr/route_jerada/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Oujda_57755446.htm
Appartement Neuf de 138 m² à Harhoura,2200000,"Appartements dans Temara, Harhoura",138 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/harhoura/appartements/Appartement_Neuf_de_138_m%C2%B2_%C3%A0_Harhoura_57756712.htm
Appartement à vendre 154 m² à Marrakech,2475000,"Appartements dans Marrakech, Route de Casablanca",154 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_154_m%C2%B2_%C3%A0_Marrakech_57804075.htm
Bel appartement à vendre,750000,"Appartements dans Agadir, Hay Salam",,2 chambres,1 sdb,https://www.avito.ma/fr/hay_salam/appartements/Bel_appartement_%C3%A0_vendre_57554092.htm
Appartement 3 chambres à Mimosas Prix imbattable,820000,"Appartements dans Kénitra, Mimosas",106 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/mimosas/appartements/Appartement_3_chambres_%C3%A0_Mimosas_Prix_imbattable_45758846.htm
Appartement à vendre 86 m² à Oujda,380000,"Appartements dans Oujda, Hay zitoune",appartement à vendre 86 m² à oujda,3 chambres,1 sdb,https://www.avito.ma/fr/hay_zitoune/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_Oujda_54393319.htm
Appart meublé 2ch salon balcon 91m2 à vendre La Gironde,950000,"Appartements dans Casablanca, La Gironde",91 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/la_gironde/appartements/Appart_meubl%C3%A9_2ch_salon_balcon_91m2_%C3%A0_vendre_La_Gironde_57823689.htm
Appartement 120 millions,1200000,"Appartements dans Rabat, Riyad Extension",76 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/riyad_extension/appartements/Appartement_120_millions_57807485.htm
Appartement vide à vendre quartier Badia,850000,"Appartements dans Marrakech, Ancienne Médina",62 m²,2 chambres,1 sdb,https://www.avito.ma/fr/ancienne_m%C3%A9dina/appartements/Appartement_vide_%C3%A0_vendre_quartier_Badia_57639180.htm
Appart HS 3ch sal terse 127m2 à vendre Mers sultan,1400000,"Appartements dans Casablanca, Mers Sultan",127 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/mers_sultan/appartements/Appart_HS_3ch_sal_terse_127m2_%C3%A0_vendre_Mers_sultan_57601103.htm
